date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:34	4389/4389	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202017%2014:18:24%20GMT	https://premiumlayers.com/html/maxrestaurant/assets/images/logo.png	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/assets/images/logo.png	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:35	56714/56714	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202017%2004:29:04%20GMT	https://premiumlayers.com/html/maxrestaurant/index2.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/index2.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:35	21209/21209	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2014:17:30%20GMT	https://premiumlayers.com/html/maxrestaurant/about.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/about.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:35	26414/26414	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Mar%202017%2004:29:54%20GMT	https://premiumlayers.com/html/maxrestaurant/menu.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/menu.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:35	16768/16768	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2014:17:36%20GMT	https://premiumlayers.com/html/maxrestaurant/reservation.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/reservation.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:36	14775/14775	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2014:17:34%20GMT	https://premiumlayers.com/html/maxrestaurant/gallery.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/gallery.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:36	12071/12071	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2014:17:30%20GMT	https://premiumlayers.com/html/maxrestaurant/404.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/404.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:36	22160/22160	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2014:17:32%20GMT	https://premiumlayers.com/html/maxrestaurant/blog.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/blog.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:36	23010/23010	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Jan%202017%2014:17:32%20GMT	https://premiumlayers.com/html/maxrestaurant/blog-single.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/blog-single.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
23:50:36	14811/14811	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202019%2000:22:22%20GMT	https://premiumlayers.com/html/maxrestaurant/contactus.html	C:/Users/chupex/Documents/HTTTRACK/restaurant/premiumlayers.com/html/maxrestaurant/contactus.html	(from https://premiumlayers.com/html/maxrestaurant/?storefront=envato-elements)
